00A YYYY.dec             Lat            Lon        Depth     cumD(cm)                 EVID                       CSID                   Mag        D(cm)
2019.8117373795028      36.64449     -121.26601    8.905      4.65265             73296100       SJBPK0_freq8-24Hz_maxdist3_coh9500   1.14      4.65265
2019.8167468607305      36.64449     -121.26601    8.905      9.06581             73297300       SJBPK0_freq8-24Hz_maxdist3_coh9500   1.05      4.41316
2004.6144359061930       36.23907     -120.80527    6.462      4.79126             21388194    SJBPK1000_freq8-24Hz_maxdist3_coh9500   1.19      4.79126
2014.3192358257229      36.23907     -120.80527    6.462      9.66767             72206535    SJBPK1000_freq8-24Hz_maxdist3_coh9500   1.22      4.87641
2016.1972467617891      36.23907     -120.80527    6.462     15.41545             72606065    SJBPK1000_freq8-24Hz_maxdist3_coh9500   1.50      5.74778
2018.6091622590056      36.23907     -120.80527    6.462     19.90704             73068175    SJBPK1000_freq8-24Hz_maxdist3_coh9500   1.08      4.49159
2019.5658881595637      36.23907     -120.80527    6.462     24.84105             73235201    SJBPK1000_freq8-24Hz_maxdist3_coh9500   1.24      4.93401
2019.5658901889904      36.23907     -120.80527    6.462     29.46645             73235206    SJBPK1000_freq8-24Hz_maxdist3_coh9500   1.13      4.62541
2004.6138959092289      36.24365     -120.80441    5.896      5.64742             21388115    SJBPK1001_freq8-24Hz_maxdist3_coh9500   1.47      5.64742
2004.8932508601497      36.24365     -120.80441    5.896     10.94162             21421905    SJBPK1001_freq8-24Hz_maxdist3_coh9500   1.36      5.29420
2007.1642957572299      36.24365     -120.80441    5.896     15.93391             40194049    SJBPK1001_freq8-24Hz_maxdist3_coh9500   1.26      4.99229
2009.3575826674278      36.24365     -120.80441    5.896     21.16630             51221387    SJBPK1001_freq8-24Hz_maxdist3_coh9500   1.34      5.23239
2010.4457378868594      36.24365     -120.80441    5.896     26.10031             71414171    SJBPK1001_freq8-24Hz_maxdist3_coh9500   1.24      4.93401
2012.3882431124773      36.24365     -120.80441    5.896     31.00543             71789686    SJBPK1001_freq8-24Hz_maxdist3_coh9500   1.23      4.90512
2015.9555493404364      36.24365     -120.80441    5.896     35.96849             72568156    SJBPK1001_freq8-24Hz_maxdist3_coh9500   1.25      4.96307
2017.9579321093354      36.24365     -120.80441    5.896     41.38850             72940896    SJBPK1001_freq8-24Hz_maxdist3_coh9500   1.40      5.42001
2019.1534963216641      36.24365     -120.80441    5.896     46.77678             73145746    SJBPK1001_freq8-24Hz_maxdist3_coh9500   1.39      5.38828
2004.6137510119408      36.49687     -121.07452    3.445      5.35673             21388104    SJBPK1002_freq8-24Hz_maxdist3_coh9500   1.38      5.35673
2009.5492206684423      36.49687     -121.07452    3.445     11.34567             71251296    SJBPK1002_freq8-24Hz_maxdist3_coh9500   1.57      5.98894
2010.6682817732117      36.49687     -121.07452    3.445     17.02635             71449570    SJBPK1002_freq8-24Hz_maxdist3_coh9500   1.48      5.68068
